INFO  - 2016-01-03 17:03:07.355; org.eclipse.jetty.server.Server; jetty-8.1.10.v20130312
INFO  - 2016-01-03 17:03:07.604; org.eclipse.jetty.deploy.providers.ScanningAppProvider; Deployment monitor /Users/cytsui/Downloads/solr-4.7.1/example/contexts at interval 0
INFO  - 2016-01-03 17:03:07.649; org.eclipse.jetty.deploy.DeploymentManager; Deployable added: /Users/cytsui/Downloads/solr-4.7.1/example/contexts/solr-jetty-context.xml
INFO  - 2016-01-03 17:03:07.855; org.eclipse.jetty.webapp.WebInfConfiguration; Extract jar:file:/Users/cytsui/Downloads/solr-4.7.1/example/webapps/solr.war!/ to /Users/cytsui/Downloads/solr-4.7.1/example/solr-webapp/webapp
INFO  - 2016-01-03 17:03:10.732; org.eclipse.jetty.webapp.StandardDescriptorProcessor; NO JSP Support for /solr, did not find org.apache.jasper.servlet.JspServlet
INFO  - 2016-01-03 17:03:11.026; org.apache.solr.servlet.SolrDispatchFilter; SolrDispatchFilter.init()
INFO  - 2016-01-03 17:03:11.153; org.apache.solr.core.SolrResourceLoader; JNDI not configured for solr (NoInitialContextEx)
INFO  - 2016-01-03 17:03:11.154; org.apache.solr.core.SolrResourceLoader; solr home defaulted to 'solr/' (could not find system property or JNDI)
INFO  - 2016-01-03 17:03:11.165; org.apache.solr.core.SolrResourceLoader; new SolrResourceLoader for directory: 'solr/'
INFO  - 2016-01-03 17:03:11.306; org.apache.solr.core.ConfigSolr; Loading container configuration from /Users/cytsui/Downloads/solr-4.7.1/example/solr/solr.xml
INFO  - 2016-01-03 17:03:11.700; org.apache.solr.core.CorePropertiesLocator; Config-defined core root directory: /Users/cytsui/Downloads/solr-4.7.1/example/solr
INFO  - 2016-01-03 17:03:11.721; org.apache.solr.core.CoreContainer; New CoreContainer 1307524379
INFO  - 2016-01-03 17:03:11.721; org.apache.solr.core.CoreContainer; Loading cores into CoreContainer [instanceDir=solr/]
INFO  - 2016-01-03 17:03:11.738; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting socketTimeout to: 0
INFO  - 2016-01-03 17:03:11.739; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting urlScheme to: null
INFO  - 2016-01-03 17:03:11.743; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting connTimeout to: 0
INFO  - 2016-01-03 17:03:11.746; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting maxConnectionsPerHost to: 20
INFO  - 2016-01-03 17:03:11.746; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting corePoolSize to: 0
INFO  - 2016-01-03 17:03:11.746; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting maximumPoolSize to: 2147483647
INFO  - 2016-01-03 17:03:11.746; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting maxThreadIdleTime to: 5
INFO  - 2016-01-03 17:03:11.747; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting sizeOfQueue to: -1
INFO  - 2016-01-03 17:03:11.747; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting fairnessPolicy to: false
INFO  - 2016-01-03 17:03:12.212; org.apache.solr.logging.LogWatcher; SLF4J impl is org.slf4j.impl.Log4jLoggerFactory
